 ,Puerta a puerta,Cierre,Código,Tag,Tag 2,Tipo Contenedor,Tipo Residuo,Código LER,Activo,Sistema recolección,Dato 1,Dato 2,Dato 3,Area,Provincia,Municipio,Pedanía,Distrito,Barrio,Dirección,Nº,C.P.,Creado,Fecha Estado,Código P.R.,Referencia P.R.,Observaciones P.R.,Lado calle,Distancia,Observaciones,Obs. dirección,Última recogida,Obs. última recogida,Último lavado,Obs. último lavado,Próxima recogida (predicción),Próximo llenado (predicción),Rutas,Vecino,Cod. Cerradura,Latitud,Longitud,Altitud
,No,No,0040000003442B14,0040000003442B14,,ORGANICA C.LAT.,4. Fracción ORGANICA,20 01 40,Sí,,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,San Cristóbal de la Laguna,,,Calle Núñez de la Peña,71,38203,28/01/2025 05:44:20,28/01/2025 05:44:20,1206,374,Punto de recogida creado automáticamente,,3,REVISAR: Creación automática por el sistema.,,20/05/2025 07:17:31,Asociada por TAG.,30/04/2025 09:19:33,Asociada por TAG.,,,,,0,28.486094,-16.319986,567
,No,No,0040000003442B15,0040000003442B15,,ORGANICA C.LAT.,4. Fracción ORGANICA,20 01 40,Sí,,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,San Cristóbal de la Laguna,,,Calle Viña Nava,50,38205,30/04/2025 10:16:09,30/04/2025 10:16:09,832,,,,3,REVISAR: Creación automática por el sistema.,,20/05/2025 11:16:13,Asociada por TAG.,,,,,,,0,28.478142,-16.307858,489
,No,No,0040000003442B16,0040000003442B16,,ORGANICA C.LAT.,4. Fracción ORGANICA,20 01 40,Sí,,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,San Cristóbal de la Laguna,,,Calle Músico Tomás Montesdeoca,24,38203,22/04/2025 06:26:09,22/04/2025 06:26:09,499,,,,3,REVISAR: Creación automática por el sistema.,,20/05/2025 09:33:20,Asociada por TAG.,30/04/2025 09:54:28,Asociada por TAG.,,,,,0,28.486639,-16.321149,572
,No,No,0040000003442B17,0040000003442B17,,ORGANICA C.LAT.,4. Fracción ORGANICA,20 01 40,Sí,,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,San Cristóbal de la Laguna,,,Avenida de Leopoldo de la Rosa Olivera,8,38206,28/01/2025 05:25:36,28/01/2025 05:25:36,845,13,Punto de recogida creado automáticamente,,3,REVISAR: Creación automática por el sistema.,,20/05/2025 06:39:07,Asociada por TAG.,30/04/2025 08:26:10,Asociada por TAG.,,,,,0,28.492868,-16.330188,587
,No,No,0040000003442B18,0040000003442B18,,ORGANICA C.LAT.,4. Fracción ORGANICA,20 01 40,Sí,,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,San Cristóbal de la Laguna,,,Calle Folia,39,38205,11/04/2025 08:09:10,11/04/2025 08:09:10,588,,,,4,REVISAR: Creación automática por el sistema.,,20/05/2025 10:17:48,Asociada por TAG.,,,,,,,0,28.476657,-16.310679,500
,No,No,0040000003442B19,0040000003442B19,,ORGANICA C.LAT.,4. Fracción ORGANICA,20 01 40,Sí,,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,San Cristóbal de la Laguna,,,Avenida de Trinidad,70,38203,22/04/2025 06:10:56,22/04/2025 06:10:56,282,,,,4,REVISAR: Creación automática por el sistema.,,20/05/2025 09:38:04,Asociada por TAG.,30/04/2025 09:31:18,Asociada por TAG.,,,,,0,28.482562,-16.317779,555
,No,No,0040000003442B1A,0040000003442B1A,,ORGANICA C.LAT.,4. Fracción ORGANICA,20 01 40,Sí,,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,San Cristóbal de la Laguna,,,Avenida de Trinidad,60,38204,11/04/2025 06:56:46,11/04/2025 06:56:46,283,,,,4,REVISAR: Creación automática por el sistema.,,20/05/2025 09:42:10,Asociada por TAG.,30/04/2025 09:47:00,Asociada por TAG.,,,,,0,28.483996,-16.317108,582
,No,No,0040000003442B1B,0040000003442B1B,,ORGANICA C.LAT.,4. Fracción ORGANICA,20 01 40,Sí,,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,San Cristóbal de la Laguna,,,Calle de Arturo Vergara Rodríguez,2B,38207,24/01/2025 09:37:16,24/01/2025 09:37:16,643,,,,2,REVISAR: Creación automática por el sistema.,,20/05/2025 11:02:47,Asociada por TAG.,,,,,,,0,28.480906,-16.309934,511
,No,No,0040000003442B1C,0040000003442B1C,,ORGANICA C.LAT.,4. Fracción ORGANICA,20 01 40,Sí,,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,Los Baldíos,,,Camino San Francisco de Paula,93A,38291,11/04/2025 08:40:43,11/04/2025 08:40:43,324,,,,2,REVISAR: Creación automática por el sistema.,,15/05/2025 04:52:56,Asociada por TAG.,,,,,,,0,28.46608,-16.327282,624
,No,No,0040000003442B1D,0040000003442B1D,,ORGANICA C.LAT.,4. Fracción ORGANICA,20 01 40,Sí,,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,San Cristóbal de la Laguna,,,Calle de los Bolos,8,38201,28/01/2025 05:21:14,28/01/2025 05:21:14,477,,,,3,REVISAR: Creación automática por el sistema.,,20/05/2025 07:01:55,Asociada por TAG.,,,,,,,0,28.491076,-16.320306,566
