 ,Recurso,Tipo,Fecha,Peso,Tag,Cod. Contenedor,Tag2,Tipo Cont,Capacidad,Marca,Modelo,Residuo,Grupo inc,Tipo inc,Tiempo maniobra,Punto Recogida,Referencia PR,Tipo PR,Observaciones,Dato 1,Dato 2,Dato 3,Area,Provincia,Municipio,Pedanía,Distrito,Barrio,Dirección,Nº,C.P.,Personal,Ruta,Cod. Ruta,Puerta a puerta,Cod. vecino,Vecino
,2918MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,03/05/2025 16:18:33,0,004000000344A8D8,004000000344A8D8,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,4. Fracción ORGANICA,Recogida pesaje / RFID,Pesada negativa,0,0,,,Asociada por TAG.,,,,,,,,,,,,,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 04:29:56,40,0040000003442C77,0040000003442C77,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,4. Fracción ORGANICA,Recogida pesaje / RFID,,11,1379,547,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,,,,Camino El Matadero,,38206,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 04:33:42,35,004000000344A558,004000000344A558,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,4. Fracción ORGANICA,Recogida pesaje / RFID,,11,5,,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,Guamasa,,,Camino Barranco el Rodeo,24,38206,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 04:36:14,35,0040000003442B5E,0040000003442B5E,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,4. Fracción ORGANICA,Recogida pesaje / RFID,,11,1789,,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,,,,Camino La Cañada,200,38297,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 04:42:02,40,004000000344A863,004000000344A863,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,4. Fracción ORGANICA,Recogida pesaje / RFID,,10,191,,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,,,,Camino Guillén,22,38297,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 04:45:39,70,0040000003442B3C,0040000003442B3C,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,4. Fracción ORGANICA,Recogida pesaje / RFID,,8,188,,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,El Rosario,,,,Camino Guillén,86,38297,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 04:54:31,35,0040000003442BA4,0040000003442BA4,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,4. Fracción ORGANICA,Recogida pesaje / RFID,,11,202,,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,Guamasa,,,Camino Vereda Alta,1A,38297,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 04:58:40,65,0040000003443136,0040000003443136,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,1. Fracción RESTO,Recogida pesaje / RFID,,11,199,,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,Guamasa,,,Camino Alfredo Hernández Canino,6,38297,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 05:03:55,125,0040000003443130,0040000003443130,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,4. Fracción ORGANICA,Recogida pesaje / RFID,,11,1549,717,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,,,,Carretera Campo de Golf,164,38330,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 05:06:50,35,004000000344A15E,004000000344A15E,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,4. Fracción ORGANICA,Recogida pesaje / RFID,,9,213,,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,Guamasa,,,Carretera Autopista Norte,219,38330,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 05:10:03,80,0040000003442B74,0040000003442B74,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,4. Fracción ORGANICA,Recogida pesaje / RFID,,11,218,,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,,,,Carretera Campo de Golf,41,38297,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 05:14:01,160,004000000344A359,004000000344A359,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,4. Fracción ORGANICA,Recogida pesaje / RFID,,11,1232,400,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,,,,Carretera General del Norte,218,38206,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 05:17:43,40,0040000003442B36,0040000003442B36,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,4. Fracción ORGANICA,Recogida pesaje / RFID,,10,236,,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,,,,Carretera General del Norte,276,38330,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 05:19:14,45,0040000003442B84,0040000003442B84,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,4. Fracción ORGANICA,Recogida pesaje / RFID,,10,232,,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,Guamasa,,,Carretera General del Norte,178,38330,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 05:21:45,35,00400000034434AA,00400000034434AA,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,4. Fracción ORGANICA,Recogida pesaje / RFID,,10,235,,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,Guamasa,,,Carretera General del Norte,13,38330,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 05:27:37,45,004000000344A56F,004000000344A56F,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,4. Fracción ORGANICA,Recogida pesaje / RFID,,11,1299,467,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,Garimbas,,,Camino Garimba,80,38270,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 05:30:19,40,0040000003442B75,0040000003442B75,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,4. Fracción ORGANICA,Recogida pesaje / RFID,,11,1235,403,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,,,,Calle Lázaro López,34D,38270,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 05:32:42,50,0040000003442B56,0040000003442B56,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,4. Fracción ORGANICA,Recogida pesaje / RFID,,10,1051,219,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,Guamasa,,,Calle Lázaro López,,38330,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 05:36:27,90,0040000003442EC2,0040000003442EC2,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,4. Fracción ORGANICA,Recogida pesaje / RFID,,10,249,,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,Guamasa,,,Camino Tabares Guamasa,27,38330,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 05:37:55,85,004000000344A555,004000000344A555,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,4. Fracción ORGANICA,Recogida pesaje / RFID,,10,250,,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,Guamasa,,,Camino Tabares Guamasa,41,38330,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 05:39:51,35,00400000034430D2,00400000034430D2,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,4. Fracción ORGANICA,Recogida pesaje / RFID,,9,252,,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,Guamasa,,,Camino Tabares Guamasa,44,38330,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 05:44:51,60,0040000003443139,0040000003443139,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,4. Fracción ORGANICA,Recogida pesaje / RFID,,11,242,,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,Guamasa,,,Camino Santa Rosa de Lima,38,38330,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 05:46:03,60,0040000003443183,0040000003443183,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,4. Fracción ORGANICA,Recogida pesaje / RFID,,10,238,,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,Guamasa,,,Transversal Santa Rosa de Lima Primera Derecha,4,38330,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 05:58:43,45,004000000344A565,004000000344A565,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,4. Fracción ORGANICA,Recogida pesaje / RFID,,11,17,,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,Toscas de Arriba,,,Carretera de Tacoronte a Tejina,,38270,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 06:04:38,40,004000000344A173,004000000344A173,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,4. Fracción ORGANICA,Recogida pesaje / RFID,,11,52,,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,Valle de Guerra,,,Camino Solis Valle Guerra,59,38270,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 06:07:06,45,004000000344A4DF,004000000344A4DF,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,4. Fracción ORGANICA,Recogida pesaje / RFID,,11,853,21,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,Valle de Guerra,,,Carretera General Valle Guerra,37,38270,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 06:08:43,30,004000000344A4D2,004000000344A4D2,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,1. Fracción RESTO,Recogida pesaje / RFID,,11,54,,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,Toscas de Arriba,,,Carretera General Valle Guerra,166,38270,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 06:10:54,35,0040000003442B73,0040000003442B73,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,1. Fracción RESTO,Recogida pesaje / RFID,,10,51,,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,Toscas de Arriba,,,Carretera General Valle Guerra,,38270,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 06:19:40,35,004000000344A174,004000000344A174,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,4. Fracción ORGANICA,Recogida pesaje / RFID,,11,27,,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,Toscas de Arriba,,,Camino de las Toscas,52B,38270,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 06:22:35,30,004000000344A4C2,004000000344A4C2,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,4. Fracción ORGANICA,Recogida pesaje / RFID,,11,35,,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,Valle de Guerra,,,Calle de Juan Fernández,46,38270,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 06:25:37,35,004000000344A4C0,004000000344A4C0,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,4. Fracción ORGANICA,Recogida pesaje / RFID,,11,45,,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,Valle de Guerra,,,Calle de la Era Valle Guerra,2,38270,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 06:27:02,40,004000000344A16A,004000000344A16A,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,4. Fracción ORGANICA,Recogida pesaje / RFID,,10,47,,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,Valle de Guerra,,,Calle del Moral Valle Guerra,81,38270,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 06:29:18,35,004000000344A184,004000000344A184,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,4. Fracción ORGANICA,Recogida pesaje / RFID,,10,61,,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,Valle de Guerra,,,Camino Cantillo,128A,38270,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 06:33:20,35,004000000344A4D0,004000000344A4D0,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,4. Fracción ORGANICA,Recogida pesaje / RFID,,10,63,,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,El Cantillo,,,Calle de Ignacio Pérez García,1,38270,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 06:36:57,40,004000000344A180,004000000344A180,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,4. Fracción ORGANICA,Recogida pesaje / RFID,,11,50,,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,Valle de Guerra,,,Camino Moya Valle Guerra,18,38270,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 06:44:44,30,0040000003443118,0040000003443118,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,1. Fracción RESTO,Recogida pesaje / RFID,,11,854,22,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,Valle de Guerra,,,Calle del Calvario Valle Guerra,20F,38270,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 06:49:54,40,004000000344319F,004000000344319F,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,1. Fracción RESTO,Recogida pesaje / RFID,,11,59,,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,Valle de Guerra,,,Carretera General Valle Guerra,79A,38270,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 06:55:06,45,004000000344A503,004000000344A503,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,4. Fracción ORGANICA,Recogida pesaje / RFID,,11,93,,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,Tejina,,,Calle Felipe del Castillo González,13,38260,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 06:58:03,35,004000000344A4E7,004000000344A4E7,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,4. Fracción ORGANICA,Recogida pesaje / RFID,,11,96,,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,Tejina,,,Camino Catalina,33,38260,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 07:01:32,130,004000000344A4F5,004000000344A4F5,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,4. Fracción ORGANICA,Recogida pesaje / RFID,,10,82,,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,Tejina,,,Camino la Costa,52,38260,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 07:06:54,35,0040000003442BBC,0040000003442BBC,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,4. Fracción ORGANICA,Recogida pesaje / RFID,,11,80,,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,,,,,,,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 07:17:53,25,0040000003442BA2,0040000003442BA2,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,4. Fracción ORGANICA,Recogida pesaje / RFID,,10,71,,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,,,,Camino Barranquera,,38270,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 07:34:11,40,00400000034430FC,00400000034430FC,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,1. Fracción RESTO,Recogida pesaje / RFID,,11,76,,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,,,,Camino Palenzuela,35,38260,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 07:39:49,50,0040000003443135,0040000003443135,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,4. Fracción ORGANICA,Recogida pesaje / RFID,,12,117,,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,Tejina,,,Calle Rabiche,4,38260,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 07:41:35,30,004000000344A4EE,004000000344A4EE,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,4. Fracción ORGANICA,Recogida pesaje / RFID,,11,936,104,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,Tejina,,,Calle José Antonio Rodríguez Amador,29,38260,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 07:44:48,45,004000000344A515,004000000344A515,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,4. Fracción ORGANICA,Recogida pesaje / RFID,,10,911,79,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,Tejina,,,Calle de Arriba,15,38260,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 07:47:16,40,004000000344A4D7,004000000344A4D7,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,4. Fracción ORGANICA,Recogida pesaje / RFID,,10,123,,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,Tejina,,,Carretera Tejina la Laguna,93,38260,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 07:51:17,35,004000000344A4C1,004000000344A4C1,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,4. Fracción ORGANICA,Recogida pesaje / RFID,,11,1057,225,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,Tejina,,,Camino Real,63,38260,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 07:56:00,30,004000000344A4C8,004000000344A4C8,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,4. Fracción ORGANICA,Recogida pesaje / RFID,,11,1062,230,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,Tejina,,,Calle de Arriba,45,38260,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 08:00:37,45,004000000344A4E0,004000000344A4E0,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,4. Fracción ORGANICA,Recogida pesaje / RFID,,11,107,,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,Tejina,,,Carretera Tejina la Laguna,73,38260,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 08:10:16,45,004000000344A4F6,004000000344A4F6,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,4. Fracción ORGANICA,Recogida pesaje / RFID,,12,131,,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,Bajamar,,,Calle del Club Náutico de Bajamar,5A,38250,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 08:12:24,35,004000000344A4CF,004000000344A4CF,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,4. Fracción ORGANICA,Recogida pesaje / RFID,,10,135,,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,,,,Carretera General la Laguna Punta del Hidalgo,114A,38250,,,,No,,
,2912 MRN (VOLVO FARID),CAMIÓN RECOLECTOR CARGA LATERAL,05/05/2025 08:15:02,50,004000000344A50C,004000000344A50C,,ORGANICA C.LAT.,1800,ROTOTANK,ROTOURBAN,4. Fracción ORGANICA,Recogida pesaje / RFID,,10,136,,,Asociada por TAG.,,,,,Santa Cruz de Tenerife,San Cristóbal de la Laguna,Bajamar,,,Calle de la Marea,42,38250,,,,No,,
