Enfoque,Sesion,Tiempo_s,FO_Mejor
A_MultiStart_VND,1,0.0,901.8
A_MultiStart_VND,1,185.62,901.8
A_MultiStart_VND,1,378.2,901.8
A_MultiStart_VND,1,586.18,901.8
A_MultiStart_VND,1,805.84,901.8
A_MultiStart_VND,1,998.9,894.14
A_MultiStart_VND,1,1195.01,894.14
A_MultiStart_VND,1,1401.91,894.14
A_MultiStart_VND,1,1591.67,894.14
A_MultiStart_VND,1,1796.85,894.14
A_MultiStart_VND,1,2009.96,894.14
A_MultiStart_VND,1,2208.74,894.14
A_MultiStart_VND,1,2429.85,894.14
A_MultiStart_VND,1,2668.87,894.14
A_MultiStart_VND,1,2861.18,894.14
A_MultiStart_VND,1,3045.44,894.14
A_MultiStart_VND,1,3214.04,894.14
A_MultiStart_VND,1,3370.01,894.14
A_MultiStart_VND,1,3540.07,894.14
A_MultiStart_VND,1,3710.05,894.14
B_VNS_Profundo,1,0.0,901.8
B_VNS_Profundo,1,176.5,901.8
B_VNS_Profundo,1,176.5,901.7971
B_VNS_Profundo,1,191.4,895.6
B_VNS_Profundo,1,208.11,890.31
B_VNS_Profundo,1,221.1,886.38
B_VNS_Profundo,1,236.25,879.13
B_VNS_Profundo,1,254.11,875.92
B_VNS_Profundo,1,264.15,874.65
B_VNS_Profundo,1,279.01,873.37
B_VNS_Profundo,1,292.31,866.06
B_VNS_Profundo,1,304.44,863.44
B_VNS_Profundo,1,343.52,856.53
B_VNS_Profundo,1,361.79,854.89
B_VNS_Profundo,1,375.86,854.17
B_VNS_Profundo,1,390.89,852.91
B_VNS_Profundo,1,401.06,850.39
B_VNS_Profundo,1,413.54,848.33
B_VNS_Profundo,1,427.15,846.32
B_VNS_Profundo,1,451.6,843.39
B_VNS_Profundo,1,488.21,837.83
B_VNS_Profundo,1,501.97,837.15
B_VNS_Profundo,1,516.59,836.44
B_VNS_Profundo,1,531.86,835.61
B_VNS_Profundo,1,661.61,833.6
B_VNS_Profundo,1,718.37,831.11
B_VNS_Profundo,1,730.31,828.61
B_VNS_Profundo,1,741.63,827.27
B_VNS_Profundo,1,752.46,825.43
B_VNS_Profundo,1,765.98,816.9
B_VNS_Profundo,1,821.1,815.49
B_VNS_Profundo,1,859.66,814.14
B_VNS_Profundo,1,917.61,810.0
B_VNS_Profundo,1,933.42,807.57
B_VNS_Profundo,1,944.49,802.59
B_VNS_Profundo,1,955.5,802.09
B_VNS_Profundo,1,969.43,801.01
B_VNS_Profundo,1,979.99,800.97
B_VNS_Profundo,1,1005.53,799.47
B_VNS_Profundo,1,1032.61,796.67
B_VNS_Profundo,1,1187.69,796.59
B_VNS_Profundo,1,1216.72,796.34
B_VNS_Profundo,1,1230.49,795.09
B_VNS_Profundo,1,1364.99,794.47
B_VNS_Profundo,1,1513.46,793.79
B_VNS_Profundo,1,1543.21,792.74
B_VNS_Profundo,1,1709.27,790.13
B_VNS_Profundo,1,1762.15,787.08
B_VNS_Profundo,1,1786.97,786.7
