Semilla,Iteracion,Tiempo_s,FO_Mejor,Shake_%
2026,0,0.0,915.5442000000002,0.0
2026,1,17.8,905.6,5.0
2026,2,29.23,898.35,5.0
2026,3,38.97,896.92,5.0
2026,4,52.89,894.48,5.0
2026,5,63.46,893.24,5.0
2026,6,78.37,890.34,5.0
2026,7,95.26,887.55,5.0
2026,8,108.89,885.47,5.0
2026,9,118.92,881.9,5.0
2026,10,130.67,879.7,5.0
2026,11,141.34,877.69,5.0
2026,12,151.21,875.8,5.0
2026,13,162.11,874.59,5.0
2026,14,171.92,874.55,5.0
2026,15,181.96,873.7,5.0
2026,16,195.87,867.1,5.0
2026,17,218.14,860.76,5.0
2026,18,232.25,855.87,5.0
2026,19,242.49,854.95,5.0
2026,21,282.55,850.75,10.0
2026,22,297.42,848.66,5.0
2026,23,309.11,847.59,5.0
2026,24,322.97,841.71,5.0
2026,25,334.84,839.45,5.0
2026,26,347.13,839.18,5.0
2026,27,358.9,837.22,5.0
2026,28,368.77,835.82,5.0
2026,29,382.4,831.54,5.0
2026,30,392.05,831.14,5.0
2026,32,417.09,830.65,10.0
2026,33,426.94,830.13,5.0
2026,34,437.87,828.95,5.0
2026,35,447.62,824.57,5.0
2026,36,460.77,823.84,5.0
2026,41,590.67,822.7,25.0
2026,42,600.78,821.02,5.0
2026,43,610.91,818.64,5.0
2026,45,633.11,817.14,10.0
2026,48,686.72,816.25,15.0
2026,50,708.74,815.53,10.0
2026,52,734.96,813.54,10.0
2026,53,749.92,804.46,5.0
2026,54,766.2,803.69,5.0
2026,55,776.52,802.53,5.0
2026,60,931.52,802.53,0.0
2027,0,0.0,913.7273,0.0
2027,1,12.69,908.56,5.0
2027,2,28.08,906.53,5.0
2027,3,48.06,899.78,5.0
2027,4,61.28,892.24,5.0
2027,5,74.78,880.82,5.0
2027,6,94.85,876.44,5.0
2027,7,107.52,876.17,5.0
2027,8,135.97,872.22,5.0
2027,9,150.26,868.48,5.0
2027,10,160.24,868.2,5.0
2027,11,177.25,865.09,5.0
2027,12,191.44,863.57,5.0
2027,13,220.86,861.37,5.0
2027,14,243.05,860.32,5.0
2027,15,258.06,859.28,5.0
2027,16,281.55,857.25,5.0
2027,17,291.49,854.84,5.0
2027,20,347.61,851.98,15.0
2027,22,369.88,843.56,10.0
2027,23,386.04,835.13,5.0
2027,24,399.12,833.12,5.0
2027,25,409.04,832.44,5.0
2027,26,421.98,830.75,5.0
2027,27,431.75,830.51,5.0
2027,28,442.61,830.47,5.0
2027,30,469.31,829.38,10.0
2027,31,486.29,829.34,5.0
2027,32,501.98,828.51,5.0
2027,33,523.62,828.19,5.0
2027,34,540.02,827.83,5.0
2027,35,550.28,827.63,5.0
2027,36,564.02,827.47,5.0
2027,37,577.72,825.33,5.0
2027,38,598.02,820.8,5.0
2027,39,608.01,820.19,5.0
2027,40,620.06,818.42,5.0
2027,41,634.47,817.38,5.0
2027,42,644.79,815.15,5.0
2027,43,655.12,814.29,5.0
2027,44,666.47,813.97,5.0
2027,45,678.12,812.45,5.0
2027,47,703.72,810.72,10.0
2027,49,742.31,810.48,10.0
2027,50,752.94,809.48,5.0
2027,52,782.14,807.77,10.0
2027,53,803.42,804.86,5.0
